;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp7247;VII;+;188.618;190.195;1.578;317;26.684.033;26.685.610;0;0;525;Solute carrier family 40 member 1 (Ferroportin-1);Magnaporthe oryzae;Ophiostoma piceae;K14685;"SLC40A1, FPN1; solute carrier family 40 (iron-regulated transporter), member 1";abhydrolase domain containing protein 12;4;"F:iron ion transmembrane transporter activity; C:integral to membrane; P:iron ion transmembrane transport; F:hydrolase activity";;;;N;;;
OphioH327gp7248;VII;+;192.416;195.034;2.619;2.220;26.687.831;26.690.449;0;0;872;RNA polymerase II subunit A C-terminal domain phosphatase;Grosmannia clavigera;Sporothrix schenckii;K15732;"CTDP1, FCP1; RNA polymerase II subunit A C-terminal domain phosphatase [EC:3.1.3.16]";rna polymerase 2 ctd phosphatase;2;"C:nucleus; F:phosphoprotein phosphatase activity";;;;N;;;
OphioH327gp7249;VII;-;195.154;195.620;467;119;26.690.569;26.691.035;1;128;112;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;Y;;;
OphioH327gp7250;VII;+;197.578;199.962;2.385;1.957;26.692.993;26.695.377;0;0;794;Glycoside hydrolase family 94 protein;Thielavia terrestris;Ophiostoma piceae;;;glycoside hydrolase family 94 protein;3;"P:carbohydrate metabolic process; F:hydrolase activity, acting on glycosyl bonds; F:carbohydrate binding";-;GH94 ;;N;;;
OphioH327gp7251;VII;+;205.315;207.955;2.641;5.352;26.700.730;26.703.370;2;160;826;Putative cellulose synthase 3 (Cyclic di-GMP-binding domain);Exophiala dermatitidis;Ophiostoma piceae;K00694;"bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]";glycosyl transferase;1;F:transferase activity;;GT2 ;;N;;;
OphioH327gp7252;VII;+;208.844;209.749;906;888;26.704.259;26.705.164;0;0;301;Putative uncharacterized protein;Nectria haematococca;Nectria haematococca;;;hypothetical protein NECHADRAFT_52455;2;"F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp7253;VII;-;210.133;213.248;3.116;383;26.705.548;26.708.663;2;152;987;Alkaline protease;Trichoderma atroviride;Trichoderma atroviride;K13275;"isp; major intracellular serine protease [EC:3.4.21.-]";pfs domain-containing protein;6;"P:proteolysis; F:serine-type endopeptidase activity; C:membrane; P:transmembrane transport; P:metal ion transport; F:metal ion transmembrane transporter activity";;;S08A;N;;;
OphioH327gp7254;VII;+;213.935;217.284;3.350;686;26.709.350;26.712.699;1;65;1.094;Kinesin light chain (KLC);Botrytis cinerea;Botrytis cinerea;;;kinesin light chain 3;12;"F:ADP binding; F:ATP binding; F:nucleotide binding; F:nucleoside-triphosphatase activity; P:lipid metabolic process; F:hydrolase activity; P:metabolic process; C:kinesin complex; F:microtubule motor activity; P:biological_process; P:nucleoside metabolic process; F:catalytic activity";;;;N;;;
OphioH327gp7255;VII;+;218.984;219.886;903;1.699;26.714.399;26.715.301;0;0;300;Maternal embryonic leucine zipper kinase;Eutypa lata;Ophiostoma piceae;;;serine threonine-protein kinase;6;"F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:kinase activity; P:phosphorylation";;;;N;;;
OphioH327gp7256;VII;+;222.352;223.140;789;2.465;26.717.767;26.718.555;1;57;243;NADH-quinone oxidoreductase subunit I;Grosmannia clavigera;Ophiostoma piceae;K03941;"NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]";nadh-ubiquinone oxidoreductase 23 kda subunit;5;"F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process; F:oxidoreductase activity, acting on NADH or NADPH; F:electron carrier activity; C:membrane";-;;;N;;;
OphioH327gp7257;VII;+;224.233;224.779;547;1.092;26.719.648;26.720.194;1;118;142;Acyl carrier protein ACP;Fusarium oxysporum;Ophiostoma piceae;K03955;"NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1 [EC:1.6.5.3 1.6.99.3]";acyl carrier protein;2;"P:fatty acid biosynthetic process; F:phosphopantetheine binding";;;;N;;;
OphioH327gp7258;VII;-;225.472;227.865;2.394;692;26.720.887;26.723.280;1;138;751;Protein cps3 (Meiotically up-regulated gene 188 protein);Thielavia terrestris;Ophiostoma piceae;;;spindle poison sensitivity protein;2;"F:nucleic acid binding; F:zinc ion binding";;;;N;;;
OphioH327gp7259;VII;+;234.083;234.808;726;6.217;26.729.498;26.730.223;0;0;241;Glyoxylate reductase/hydroxypyruvate reductase;Grosmannia clavigera;Ophiostoma piceae;;;2-hydroxyacid dehydrogenase;4;"P:oxidation-reduction process; F:cofactor binding; F:nucleotide binding; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";;;;N;;;
OphioH327gp7260;VII;+;237.689;238.252;564;2.880;26.733.104;26.733.667;0;0;187;Putative uncharacterized protein;Thielavia terrestris;Ophiostoma piceae;;;hypothetical protein THITE_2120514;0;-;;;;N;;;
OphioH327gp7261;VII;+;238.879;240.645;1.767;626;26.734.294;26.736.060;0;0;588;Desumoylating isopeptidase 1;Grosmannia clavigera;Ophiostoma piceae;;;thioredoxin protein;1;P:cell redox homeostasis;-;;;N;;;
OphioH327gp7262;VII;+;241.133;242.518;1.386;487;26.736.548;26.737.933;3;282;367;Probable alpha-galactosidase (Melibiase B);Aspergillus oryzae;Ophiostoma piceae;K01189;"GLA; alpha-galactosidase [EC:3.2.1.22]";alpha-galactosidase;1;F:alpha-galactosidase activity;EC:3.2.1.22;GH27 ;;N;;;
OphioH327gp7263;VII;+;245.198;249.387;4.190;2.679;26.740.613;26.744.802;4;668;1.173;Uncharacterized transcriptional regulatory protein C139.03;Scedosporium apiospermum;Ophiostoma piceae;;;fungal specific transcription factor domain-containing protein;9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";;;;N;;;
OphioH327gp7264;VII;-;249.745;250.805;1.061;357;26.745.160;26.746.220;1;53;335;Putative uncharacterized protein;Sclerotinia sclerotiorum;Ophiostoma piceae;;;gegh16 protein;0;-;;;;N;;;
OphioH327gp7265;VII;-;253.298;254.425;1.128;2.492;26.748.713;26.749.840;0;0;375;Putative uncharacterized protein;Botrytis cinerea;Ophiostoma piceae;;;gegh16 protein;0;-;;;;Y;;;
OphioH327gp7266;VII;-;256.738;258.524;1.787;2.312;26.752.153;26.753.939;2;131;551;Cytochrome P450 (CYP582D1);Grosmannia clavigera;Ophiostoma piceae;K07424;"CYP3A; cytochrome P450, family 3, subfamily A [EC:1.14.14.1]";cytochrome p450;10;"F:metal ion binding; P:oxidation-reduction process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding; F:oxidoreductase activity; F:electron carrier activity; F:iron ion binding; F:monooxygenase activity; F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp7267;VII;-;261.618;263.022;1.405;3.093;26.757.033;26.758.437;2;112;430;Alpha-muurolene synthase (Germacrene-A synthase);Heterobasidion irregulare;Ophiostoma piceae;;;terpenoid synthase;3;"F:terpene synthase activity; F:magnesium ion binding; F:lyase activity";;;;N;;;
OphioH327gp7268;VII;-;265.329;275.355;10.027;2.306;26.760.744;26.770.770;4;241;3.261;Putative uncharacterized protein;Glarea lozoyensis;Ophiostoma piceae;;;hypothetical protein LEMA_P094020.1;0;-;;;;N;;;
OphioH327gp7269;VII;-;277.010;277.573;564;1.654;26.772.425;26.772.988;0;0;187;Putative uncharacterized protein;Eutypa lata;Sporothrix schenckii;;;hypothetical protein SNOG_08912;0;-;;;;N;;;
OphioH327gp7270;VII;+;279.133;280.074;942;1.559;26.774.548;26.775.489;0;0;313;Isoflavone reductase homolog P3;Grosmannia clavigera;Ophiostoma piceae;;;X-like protein;2;"F:nucleotide binding; C:cellular_component";;;;N;;;
OphioH327gp7271;VII;-;280.384;283.757;3.374;309;26.775.799;26.779.172;1;53;1.106;DNA repair and recombination protein pif1, mitochondrial (ATP-dependent helicase pif1);Grosmannia clavigera;Ophiostoma piceae;K15255;"PIF1; ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]";atp-dependent dna helicase pif1;10;"F:helicase activity; F:ATP binding; P:DNA repair; F:nucleotide binding; F:nucleoside-triphosphatase activity; P:DNA duplex unwinding; F:DNA helicase activity; P:telomere maintenance; F:nucleic acid binding; F:ribonuclease H activity";;;;N;;;
OphioH327gp7272;VII;+;286.494;287.909;1.416;2.736;26.781.909;26.783.324;6;348;355;Methyltransferase type 12;Grosmannia clavigera;Ophiostoma piceae;;;methyltransferase type 12;1;F:transferase activity;-;;;N;;;
OphioH327gp7273;VII;+;289.887;290.456;570;1.977;26.785.302;26.785.871;0;0;189;Putative glutathione-dependent formaldehyde-activating enzyme;Thielavia terrestris;Ophiostoma piceae;;;glutathione-dependent formaldehyde-activating;3;"F:zinc ion binding; F:S-(hydroxymethyl)glutathione synthase activity; P:formaldehyde catabolic process";EC:4.4.1.22;;;N;;;
OphioH327gp7274;VII;-;291.208;292.344;1.137;751;26.786.623;26.787.759;0;0;378;Laccase-1 (Benzenediol:oxygen oxidoreductase 1/Diphenol oxidase 1/Ligninolytic phenoloxidase/Urishiol oxidase 1);Talaromyces marneffei;Ophiostoma piceae;;;extracellular dihydrogeodin oxidase;3;"F:oxidoreductase activity; P:oxidation-reduction process; F:copper ion binding";-;;;N;;;
OphioH327gp7275;VII;-;301.576;301.983;408;9.231;26.796.991;26.797.398;1;69;112;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp7276;VII;+;302.047;302.466;420;63;26.797.462;26.797.881;0;0;139;Putative uncharacterized protein;Talaromyces marneffei;Ophiostoma piceae;;;hypothetical protein PMAA_032890;0;-;;;;N;;;
OphioH327gp7277;VII;+;307.344;308.292;949;4.877;26.802.759;26.803.707;1;448;166;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7278;VII;-;308.565;308.784;220;272;26.803.980;26.804.199;1;115;34;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp7279;VII;-;310.567;312.183;1.617;1.782;26.805.982;26.807.598;1;36;526;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1032;0;-;;;;N;;;
OphioH327gp7280;VII;+;314.705;315.233;529;2.521;26.810.120;26.810.648;1;55;157;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7281;VII;+;317.657;318.010;354;2.423;26.813.072;26.813.425;0;0;117;Putative uncharacterized protein;Myceliophthora thermophila;Myceliophthora thermophila;;;hypothetical protein MYCTH_2303274;0;-;;;;N;;;
OphioH327gp7282;VII;-;318.023;320.113;2.091;12;26.813.438;26.815.528;0;0;696;Putative uncharacterized protein;Myceliophthora thermophila;Ophiostoma piceae;;;immunoglobulin variable region used by the itc63b heavy chain;0;-;;;;N;;;
OphioH327gp7283;VII;-;321.540;322.415;876;1.426;26.816.955;26.817.830;0;0;291;Putative fructose-bisphosphate aldolase (FBP aldolase);Fusarium oxysporum;Fusarium oxysporum;K08302;"gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]";fructose-bisphosphate aldolase;3;"F:zinc ion binding; F:aldehyde-lyase activity; P:carbohydrate metabolic process";EC:4.1.2.0;;;N;;;
OphioH327gp7284;VII;-;323.061;324.404;1.344;645;26.818.476;26.819.819;0;0;447;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_799;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp7285;VII;-;326.670;328.170;1.501;2.265;26.822.085;26.823.585;1;73;475;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7286;VII;+;334.981;336.843;1.863;6.810;26.830.396;26.832.258;0;0;620;Putative uncharacterized protein;Metarhizium anisopliae;Ophiostoma piceae;;;hypothetical protein MAA_08929;2;"P:metabolic process; F:catalytic activity";;;;N;;;
OphioH327gp7287;VII;-;337.095;337.571;477;251;26.832.510;26.832.986;0;0;158;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp7288;VII;+;338.567;339.196;630;995;26.833.982;26.834.611;0;0;209;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7289;VII;+;339.551;340.873;1.323;354;26.834.966;26.836.288;0;0;440;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7290;VII;-;341.689;343.737;2.049;815;26.837.104;26.839.152;0;0;682;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_786;0;-;;;;N;;;
OphioH327gp7291;VII;-;346.185;346.829;645;2.447;26.841.600;26.842.244;0;0;214;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7292;VII;-;348.071;353.884;5.814;1.241;26.843.486;26.849.299;0;0;1.937;NFX1-type zinc finger-containing protein 1;Trichoderma virens;Ophiostoma piceae;;;nf-x1 finger and helicase domain;6;"F:helicase activity; F:nucleic acid binding; F:zinc ion binding; P:regulation of transcription, DNA-dependent; C:nucleus; F:sequence-specific DNA binding transcription factor activity";;;;N;;;
OphioH327gp7293;VII;+;358.289;361.457;3.169;4.404;26.853.704;26.856.872;1;70;1.032;Trehalose-phosphate synthase subunit;Grosmannia clavigera;Ophiostoma piceae;K16055;"TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]";glycosyltransferase family 20 protein;2;"F:transferase activity; P:trehalose biosynthetic process";-;GT20 ;;N;;;
OphioH327gp7294;VII;+;362.198;363.164;967;740;26.857.613;26.858.579;1;64;300;Uncharacterized oxidoreductase uxuB;Sordaria macrospora;Ophiostoma piceae;;;short chain dehydrogenase reductase family protein;4;"P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding";;;;N;;;
OphioH327gp7295;VII;-;363.543;364.614;1.072;378;26.858.958;26.860.029;2;154;305;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_440;0;-;;;;N;;;
OphioH327gp7296;VII;+;365.415;368.489;3.075;800;26.860.830;26.863.904;0;0;1.024;Fungal transcriptional regulatory protein;Grosmannia clavigera;Ophiostoma piceae;;;fungal transcriptional regulatory protein;9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";;;;N;;;
OphioH327gp7297;VII;-;368.993;372.097;3.105;503;26.864.408;26.867.512;4;264;946;Fungal specific transcription factor domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;fungal specific transcription factor domain containing protein;9;"P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding";;;;N;;;
OphioH327gp7298;VII;+;373.612;378.305;4.694;1.514;26.869.027;26.873.720;4;1.715;992;Multidrug resistance protein CDR2;Grosmannia clavigera;Ophiostoma piceae;;;abc transporter;5;"P:transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding";-;;;N;Y;;
OphioH327gp7299;VII;-;378.975;379.946;972;669;26.874.390;26.875.361;0;0;323;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein;0;-;;;;N;;;
OphioH327gp7300;VII;-;384.726;386.729;2.004;4.779;26.880.141;26.882.144;3;198;601;Putative uncharacterized protein;Exophiala dermatitidis;Ophiostoma piceae;;;bzip transcription;3;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:sequence-specific DNA binding transcription factor activity";;;;N;;;
OphioH327gp7301;VII;+;388.916;390.739;1.824;2.186;26.884.331;26.886.154;0;0;607;Arylsulfatase;Glarea lozoyensis;Ophiostoma piceae;K01137;"GNS; N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]";hypothetical protein TRIVIDRAFT_190530;1;F:catalytic activity;-;;;Y;;;
OphioH327gp7302;VII;+;391.276;393.214;1.939;536;26.886.691;26.888.629;1;1.000;312;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp7303;VII;+;393.404;394.645;1.242;189;26.888.819;26.890.060;0;0;413;Sterigmatocystin 8-O-methyltransferase;Setosphaeria turcica;Setosphaeria turcica;;;sterigmatocystin 8-o-methyltransferase;7;"F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity; P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process";;;;N;;cluster gene;
OphioH327gp7304;VII;+;395.405;396.626;1.222;759;26.890.820;26.892.041;3;319;300;Mitochondrial phosphate carrier protein;Penicillium roqueforti;Penicillium roqueforti;K15102;"SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3";mitochondrial phosphate carrier protein;3;"C:integral to mitochondrial inner membrane; F:inorganic phosphate transmembrane transporter activity; P:phosphate ion transmembrane transport";-;;;N;;cluster gene;
OphioH327gp7305;VII;-;396.939;397.989;1.051;312;26.892.354;26.893.404;2;136;304;Putative uncharacterized protein;Scedosporium apiospermum;Scedosporium apiospermum;;;n-terminal domain protein;0;-;;;;N;;cluster gene;
OphioH327gp7306;VII;-;398.747;400.271;1.525;757;26.894.162;26.895.686;4;277;415;Sterigmatocystin 8-O-methyltransferase;Scedosporium apiospermum;Scedosporium apiospermum;;;o-methyltransferase;4;"F:methyltransferase activity; F:transferase activity; P:methylation; F:O-methyltransferase activity";;;;N;;cluster gene;
OphioH327gp7307;VII;-;401.103;402.917;1.815;831;26.896.518;26.898.332;4;330;494;Uncharacterized monooxygenase;Scedosporium apiospermum;Scedosporium apiospermum;;;fad binding domain protein;4;"P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:monooxygenase activity";;;;N;;cluster gene;
OphioH327gp7308;VII;+;404.525;406.463;1.939;1.607;26.899.940;26.901.878;3;226;570;Major facilitator superfamily (MFS) transporter;Scedosporium apiospermum;Scedosporium apiospermum;;;major facilitator superfamily transporter;2;"C:integral to membrane; P:transmembrane transport";;;;N;;cluster gene;
OphioH327gp7309;VII;+;409.176;410.282;1.107;2.712;26.904.591;26.905.697;0;0;368;Putative uncharacterized protein;Fusarium fujikuroi;Fusarium fujikuroi;;;hypothetical protein VDAG_05636;6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";;;;N;;cluster gene;
OphioH327gp7310;VII;-;410.584;411.640;1.057;301;26.905.999;26.907.055;2;178;292;Peptidase S15;Scedosporium apiospermum;Scedosporium apiospermum;;;n-terminal domain protein;0;-;;;;N;;cluster gene;
OphioH327gp7311;VII;-;412.760;413.882;1.123;1.119;26.908.175;26.909.297;1;67;351;Protein TOXD;Scedosporium apiospermum;Scedosporium apiospermum;;;zinc-binding dehydrogenase family;6;"P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:zinc ion binding; F:enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity; F:alcohol dehydrogenase (NAD) activity";;;;N;;cluster gene;
